id,name,location,company_id
1,Factory 1 - Katherineshire,Daviston,1
2,Factory 2 - Hernandezport,South Melissa,1
3,Factory 3 - Ortiztown,South Michaelchester,1
4,Factory 4 - Wendybury,Maureenborough,1
5,Factory 5 - South Christinafurt,Marytown,1
6,Factory 6 - South Josephview,Christianfurt,2
7,Factory 7 - Christinaside,Brownton,2
8,Factory 8 - Fowlermouth,Jensenstad,2
9,Factory 9 - North Catherineview,Davischester,2
10,Factory 10 - Annachester,Rogersberg,3
11,Factory 11 - Port Brendachester,Nguyenborough,3
12,Factory 12 - West Stephen,Johnside,3
13,Factory 13 - Merritthaven,Kelleyfurt,4
14,Factory 14 - Meyersborough,Anthonyville,4
15,Factory 15 - Port Brianhaven,Ralphfort,4
16,Factory 16 - Craigmouth,Manningland,5
17,Factory 17 - Ashleybury,Port Scottside,5
18,Factory 18 - Carrieside,Port Samuelburgh,5
19,Factory 19 - Bensonborough,New Benjamin,6
20,Factory 20 - Lake Greggchester,South Nataliefort,6
21,Factory 21 - West April,North Jenniferstad,6
22,Factory 22 - North Ashley,South Mariamouth,7
23,Factory 23 - Pinedafort,Michaelport,7
24,Factory 24 - Jacobsview,South Scottbury,7
25,Factory 25 - East Kenneth,Karenchester,8
26,Factory 26 - North Kathleen,Robertborough,8
27,Factory 27 - Lake Samuelmouth,Marieland,8
